Id,Group,Value,aligned(Value) for Group,ART(Value) for Group
1,Con,0.0578,0.0068926470588235294117647059,43
2,Con,0.1534,0.1024926470588235294117647059,68
3,Con,0.0797,0.0287926470588235294117647059,56
4,Con,0.0914,0.0404926470588235294117647059,59
5,Con,0.0201,-0.0308073529411764705882352941,15
6,Con,0.074,0.0230926470588235294117647059,52
7,Con,0.1395,0.0885926470588235294117647059,65
8,Con,0.0733,0.0223926470588235294117647059,50
9,Con,0.0819,0.0309926470588235294117647059,57
10,Con,0.0223,-0.0286073529411764705882352941,18
11,Con,0.0244,-0.0265073529411764705882352941,20
12,Con,0.0142,-0.0367073529411764705882352941,10
13,Con,0.0447,-0.0062073529411764705882352941,40
14,Con,0.0253,-0.0256073529411764705882352941,26
15,Con,0.0098,-0.0411073529411764705882352941,6
16,Con,0.0736,0.0226926470588235294117647059,51
17,Con,0.024,-0.0269073529411764705882352941,19
18,Con,0.0202,-0.0307073529411764705882352941,16
19,Con,0.0432,-0.0077073529411764705882352941,38
20,Con,0.0643,0.0133926470588235294117647059,46
21,Con,0.0173,-0.0336073529411764705882352941,13
22,Con,0.0515,0.0005926470588235294117647059,41
23,Con,0.0089,-0.0420073529411764705882352941,5
24,Con,0.0434,-0.0075073529411764705882352941,39
25,Con,0.0651,0.0141926470588235294117647059,47
26,Con,0.0166,-0.0343073529411764705882352941,12
27,Con,0.0519,0.0009926470588235294117647059,42
28,Con,0.0371,-0.0138073529411764705882352941,36
29,Con,0.0754,0.0244926470588235294117647059,53
30,Con,0.06,0.0090926470588235294117647059,45
31,Con,0.0087,-0.0422073529411764705882352941,4
32,Con,0.0246,-0.0263073529411764705882352941,22.5
33,Con,0.037,-0.0139073529411764705882352941,35
34,Con,0.0245,-0.0264073529411764705882352941,21
35,Unc,0.1003,0.0493926470588235294117647059,61
36,Unc,0.139,0.0880926470588235294117647059,64
37,Unc,0.0886,0.0376926470588235294117647059,58
38,Unc,0.1493,0.0983926470588235294117647059,66
39,Unc,0.0212,-0.0297073529411764705882352941,17
40,Unc,0.0763,0.0253926470588235294117647059,55
41,Unc,0.1352,0.0842926470588235294117647059,63
42,Unc,0.0345,-0.0164073529411764705882352941,32
43,Unc,0.0915,0.0405926470588235294117647059,60
44,Unc,0.0064,-0.0445073529411764705882352941,2
45,Unc,0.0121,-0.0388073529411764705882352941,7
46,Unc,0.0248,-0.0261073529411764705882352941,24
47,Unc,0.0585,0.0075926470588235294117647059,44
48,Unc,0.0274,-0.0235073529411764705882352941,27
49,Unc,0.0131,-0.0378073529411764705882352941,8
50,Unc,0.0701,0.0191926470588235294117647059,49
51,Unc,0.003,-0.0479073529411764705882352941,1
52,Unc,0.0193,-0.0316073529411764705882352941,14
53,Unc,0.0693,0.0183926470588235294117647059,48
54,Unc,0.033,-0.0179073529411764705882352941,31
55,Unc,0.0294,-0.0215073529411764705882352941,28
56,Unc,0.0359,-0.0150073529411764705882352941,34
57,Unc,0.0154,-0.0355073529411764705882352941,11
58,Unc,0.113,0.0620926470588235294117647059,62
59,Unc,0.1512,0.1002926470588235294117647059,67
60,Unc,0.0308,-0.0201073529411764705882352941,29
61,Unc,0.0139,-0.0370073529411764705882352941,9
62,Unc,0.0246,-0.0263073529411764705882352941,22.5
63,Unc,0.0328,-0.0181073529411764705882352941,30
64,Unc,0.0251,-0.0258073529411764705882352941,25
65,Unc,0.0756,0.0246926470588235294117647059,54
66,Unc,0.0389,-0.0120073529411764705882352941,37
67,Unc,0.0346,-0.0163073529411764705882352941,33
68,Unc,0.0085,-0.0424073529411764705882352941,3
