Id,Group,Value
1,Con,0
2,Con,0
3,Con,0
4,Con,0
5,Con,0
6,Con,0
7,Con,0
8,Con,0
9,Con,0
10,Con,0
11,Con,0
12,Con,0
13,Con,0
14,Con,0
15,Con,0
16,Con,0
17,Con,0
18,Con,0
19,Con,0
20,Con,0
21,Con,0
22,Con,0
23,Con,0
24,Con,0
25,Con,0
26,Con,0
27,Con,0
28,Con,0
29,Con,0
30,Con,0
31,Con,0
32,Con,0
33,Con,0
34,Con,0
35,Unc,0.0945
36,Unc,0.0317
37,Unc,0.0268
38,Unc,0.1206
39,Unc,0.0529
40,Unc,0.0093
41,Unc,0.0137
42,Unc,0.0234
43,Unc,0.0211
44,Unc,0.043
45,Unc,0.0474
46,Unc,0.0577
47,Unc,0.0286
48,Unc,0.0316
49,Unc,0.009
50,Unc,0.0103
51,Unc,0.0815
52,Unc,0.032
53,Unc,0.0521
54,Unc,0.0344
55,Unc,0.0616
56,Unc,0.0427
57,Unc,0.1105
58,Unc,0.3629
59,Unc,0.076
60,Unc,0.0634
61,Unc,0.013
62,Unc,0.0131
63,Unc,0.073
64,Unc,0.1049
65,Unc,0.08
66,Unc,0.0394
67,Unc,0.0669
68,Unc,0.0103
