pid condition block mental physical temporal performance effort frustration
1 Width-3 1 20 20 20 100 20 20
1 Width-2 1 20 20 20 10 20 20
1 Width-1 1 20 20 20 20 25 20
2 Width-3 1 10 10 30 40 20 10
2 Width-1 1 15 20 10 30 20 10
2 Width-2 1 10 15 20 40 10 5
3 Width-2 1 55 55 40 60 50 35
3 Width-3 1 55 55 50 55 45 35
3 Width-1 1 55 55 50 55 55 40
4 Width-2 1 10 70 20 0 50 10
4 Width-1 1 35 75 15 10 75 10
4 Width-3 1 5 50 15 10 30 10
5 Width-1 1 10 80 5 5 15 10
5 Width-3 1 10 80 15 5 10 15
5 Width-2 1 10 65 20 10 10 10
