frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v,date_now
frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v
frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v,date_now
0,114,4,19.1371677115147,114,4,34.2843866411607,114,4,14.2946347482744,145,5,31.3401194105344,148,5,40.9286547767745,88,3,10.5609578041782,2021/12/2 12:25:12
1,64,3,14.9767044419768,64,3,20.8197058736924,64,3,4.90562869338164,123,5,14.3642729845324,144,5,20.1941993127589,133,5,1.89572598281401,2021/12/2 12:25:12
2,91,4,13.1681513917681,91,4,17.3519608443179,91,4,23.7767306133871,73,3,27.1637107977655,83,3,22.9562399849409,158,6,4.82411062729517,2021/12/2 12:25:12
3,121,5,41.3903529721391,121,5,9.15521576849234,121,5,23.9344066742349,178,6,28.9449869877237,155,6,13.4560477902645,168,6,14.138369178024,2021/12/2 12:25:12
4,175,6,14.0790723859389,175,6,13.9344721343708,175,6,4.93412980947632,160,6,14.154686367953,170,6,16.5841202347402,176,6,10.659614730886,2021/12/2 12:25:12
5,161,6,17.0837689370571,161,6,10.2627674103354,161,6,21.3777895275039,168,6,37.1407064504739,173,6,37.2826397095235,168,6,16.3128817080927,2021/12/2 12:25:12
6,144,5,8.72713632424954,144,5,4.25746856580135,144,5,20.2032000275678,172,6,38.3826850188401,174,6,41.9037458945279,164,6,8.13443582639813,2021/12/2 12:25:12
7,161,6,15.3962308193053,161,6,1.80911648742241,161,6,17.9990419905602,172,6,34.0455642643821,173,6,37.8634819422521,144,5,5.4319409213934,2021/12/2 12:25:12
8,163,6,16.0315291651647,163,6,9.9799334183024,163,6,29.059019335978,168,6,47.2398742451004,171,6,50.1531004771045,154,6,6.93060593198184,2021/12/2 12:25:12
9,127,5,24.3187114163816,127,5,21.0522595113274,127,5,32.2966993965631,143,5,47.8278523462074,154,6,52.4638821147416,143,5,16.4363030965903,2021/12/2 12:25:12
10,172,6,46.0461548797901,172,6,59.5645750218088,172,6,43.8270829283788,170,6,49.2519202203361,172,6,47.4518469774148,168,6,20.9360364947759,2021/12/2 12:25:12
11,164,6,50.7440283271969,164,6,56.7449875104325,164,6,54.2561245711161,161,6,57.3342167636719,161,6,47.56602965303,162,6,19.5297527214616,2021/12/2 12:25:12
12,109,4,31.1943824928738,109,4,41.9942268981682,109,4,35.4208506841367,103,4,41.3474063931427,120,5,43.1622432428596,157,6,17.9926699112708,2021/12/2 12:25:12
