frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v
88,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
89,89,3,2.06476546236143E-07,89,3,2.06476546236143E-07,89,3,2.06476546236143E-07,56,2,2.06476546236143E-07,67,3,2.06476546236143E-07,74,3,2.06476546236143E-07
90,147,5,1874.35667600968,147,5,1719.37116711113,147,5,1556.27621791712,164,6,1580.08871610628,156,6,1327.85670823539,156,6,934.728239049859
91,164,6,1334.90175589571,164,6,1556.02744918091,164,6,1349.02528708501,168,6,1275.1594065099,162,6,1094.05283012811,164,6,1013.24729242555
92,166,6,1314.88646086584,166,6,1379.08310266464,166,6,1274.03571231754,175,6,1221.57719335559,178,6,1208.142609743,173,6,1093.79920736162
93,176,6,1151.83225425449,176,6,1327.00773763983,176,6,1161.77108119888,168,6,1067.45200966637,168,6,1012.87115945712,175,6,983.495472517487
94,174,6,991.852680631136,174,6,1286.21590714708,174,6,1352.08063199476,177,6,1185.28322346273,179,6,1134.57440525366,177,6,977.054675663376
95,166,6,774.464798596298,166,6,957.994444948262,166,6,1030.46446638917,170,6,950.522056807939,172,6,863.849163491344,173,6,788.031021379919
96,174,6,690.831164166368,174,6,821.834694961476,174,6,816.210941924874,173,6,763.103949433942,172,6,712.582347733881,173,6,720.878345024629
97,173,6,623.25311289515,173,6,740.853094080259,173,6,711.785419755628,177,6,639.797149235282,175,6,567.760693068642,176,6,669.637859537651
98,168,6,552.196146882977,168,6,667.899670386268,168,6,629.858365283596,176,6,552.06594253044,177,6,459.638891087075,179,6,610.257253586735
99,174,6,504.673363318891,174,6,563.767934951613,174,6,488.201690103995,178,6,449.783404305122,177,6,394.650532597271,179,6,523.795962085172
